,PPV,TPR,F1,INF
6LVR_D,0.389,0.583,0.467,0.476
6OIG_7,,,,
6OM6_5,,,,
6TF0_A,,,,
6TFH_A,,,,
6TPQ_V,,,,
6UBU_B,0.783,1.0,0.878,0.885
6UC7_B,0.783,1.0,0.878,0.885
6UC8_B,0.783,1.0,0.878,0.885
6UC9_B,0.783,1.0,0.878,0.885
6VAR_A,,,,
6VWL_4,1.0,1.0,1.0,1.0
6VWM_4,1.0,1.0,1.0,1.0
6VWN_4,1.0,1.0,1.0,1.0
6WB1_D,0.0,0.0,0.0,0.0
6WB2_D,0.0,0.0,0.0,0.0
6WZR_A,0.45,0.643,0.529,0.538
6WZR_B,0.529,0.818,0.643,0.658
6WZS_B,0.474,0.75,0.581,0.596
6XHV_2w,0.25,0.25,0.25,0.25
6XHV_2y,0.286,0.286,0.286,0.286
6XHW_2w,0.25,0.25,0.25,0.25
6XHW_2y,0.286,0.286,0.286,0.286
6XHY_2w,0.25,0.25,0.25,0.25
6XHY_2y,0.286,0.286,0.286,0.286
6XIQ_3,,,,
6XIR_3,,,,
6XZ7_g,0.389,0.583,0.467,0.476
6XZB_g2,0.389,0.583,0.467,0.476
6Y50_2,0.462,0.75,0.571,0.588
6Y69_w,,,,
6YBV_w,,,,
6YDP_BB,,,,
6YDW_BB,,,,
6YS5_7,1.0,1.0,1.0,1.0
6YTF_7,1.0,1.0,1.0,1.0
6YWE_bb,0.95,1.0,0.974,0.975
6ZM5_w,,,,
6ZM5_x,0.762,1.0,0.865,0.873
6ZM6_w,,,,
6ZM6_x,0.762,1.0,0.865,0.873
6ZMW_w,,,,
6ZYM_5,1.0,1.0,1.0,1.0
7A5P_5,1.0,1.0,1.0,1.0
7AAV_5,1.0,1.0,1.0,1.0
7AAV_6,0.7,0.778,0.737,0.738
7ABF_5,1.0,1.0,1.0,1.0
7ABH_2,1.0,1.0,1.0,1.0
7AQC_P,,,,
7AS8_2,,,,
7ASA_2,1.0,1.0,1.0,1.0
7ASE_1,,,,
7CPU_S6,,,,
7CPV_S6,,,,
7D7W_A,,,,
7D7X_A,,,,
7D7Y_A,,,,
7D7Z_A,,,,
7D81_A,,,,
7D82_A,,,,
7DA7_C,0.0,0.0,0.0,0.0
7DAS_C,0.0,0.0,0.0,0.0
7DVQ_B,0.931,1.0,0.964,0.965
7ELD_B,0.976,1.0,0.988,0.988
7F36_H,,,,
7K9M_C,0.765,0.813,0.788,0.788
7KA0_C,0.778,0.824,0.8,0.8
7KA0_F,0.75,0.8,0.774,0.775
7KAB_C,0.789,0.833,0.811,0.811
7KJT_A,,,,
7KJU_A,,,,
7LH5_AV,,,,
7LH5_CV,,,,
7LMA_B,,,,
