,PPV,TPR,F1,INF
7O7Z_B7,,,,
7O80_B7,,,,
7O81_AJ,0.514,0.947,0.667,0.698
7O81_B7,,,,
7OBQ_1,0.0,0.0,0.0,0.0
7OBR_1,,,,
7OBR_7,,,,
7OF1_3,0.375,0.333,0.353,0.354
7OH3_3,,,,
7OHQ_3,,,,
7OHT_3,,,,
7OI8_z,,,,
7OIA_z,,,,
7OID_z,,,,
7OIF_3,,,,
7OIF_z,0.571,0.667,0.615,0.617
7OIG_3,,,,
7OIG_z,0.591,0.722,0.65,0.653
7OII_3,,,,
7OII_z,,,,
7OIZ_b,,,,
7OIZ_V,,,,
7OJ0_b,,,,
7OJ0_V,,,,
7OKX_P,0.0,0.0,0.0,0.0
7OKY_P,0.0,0.0,0.0,0.0
7OL0_P,0.0,0.0,0.0,0.0
7OLC_3,,,,
7OLD_3,,,,
7OLD_5,,,,
7ONB_H,0.0,0.0,0.0,0.0
7ONU_T,,,,
7OPE_2,,,,
7OPE_B,,,,
7OSA_AB,,,,
7OSM_AB,,,,
7OT5_3,,,,
7OT5_z,,,,
7P3K_b,,,,
7P3K_V,,,,
7P48_5,,,,
7P48_B,,,,
7P7Q_B,,,,
7P7Q_D,,,,
7P7R_B,,,,
7P7R_D,,,,
7P7S_B,,,,
7P7S_D,,,,
7P7T_B,,,,
7P7T_D,,,,
7P7U_B,,,,
7P7U_D,,,,
7PJS_B,,,,
7PJT_B,,,,
7PJT_v,,,,
7PJT_w,0.042,0.125,0.063,0.072
7PJU_B,,,,
7PJU_v,,,,
7PJU_w,0.053,0.111,0.071,0.076
7PJV_B,,,,
7PJV_v,,,,
7PJV_w,0.056,0.111,0.074,0.079
7PJW_B,,,,
7PJW_v,,,,
7PJW_w,0.0,0.0,0.0,0.0
7PJX_B,,,,
7PJX_v,,,,
7PJX_w,0.05,0.111,0.069,0.075
7PJY_B,,,,
7PJY_v,,,,
7PJY_w,0.053,0.111,0.071,0.076
7PJZ_B,,,,
7PJZ_v,,,,
7PJZ_w,0.048,0.143,0.071,0.082
7PWG_3,0.487,0.679,0.567,0.575
7PWO_3,0.448,0.481,0.464,0.465
7Q3L_2,0.0,0.0,0.0,0.0
7Q4P_2,0.0,0.0,0.0,0.0
7QEP_2,,,,
7QG8_M,0.789,0.75,0.769,0.769
7QG8_O,,,,
7QGH_M,0.789,0.75,0.769,0.769
7QGH_O,,,,
7QGN_M,0.789,0.75,0.769,0.769
7QGN_O,,,,
7QGU_B,,,,
7QGU_z,,,,
7QH4_1,,,,
7QH4_B,,,,
7QH4_y,,,,
7QV1_B,,,,
7QV1_H,,,,
7QV2_B,,,,
7QV2_H,,,,
7QV2_x,,,,
7QV3_B,,,,
7QV3_H,,,,
7QWQ_1,0.0,0.0,0.0,0.0
7QWQ_7,,,,
7QWR_7,,,,
7QWS_7,,,,
7QXA_B,0.015,0.067,0.025,0.032
7QXB_B,0.014,0.077,0.024,0.033
7QXS_B,0.014,0.077,0.024,0.033
7R81_B1,,,,
7R81_t1,,,,
7R81_u1,,,,
7RQ8_1B,,,,
7RQ8_1w,0.194,0.462,0.273,0.299
7RQ8_1x,,,,
7RQ8_2B,,,,
7RQ8_2w,0.038,0.1,0.056,0.062
7RQ8_2x,,,,
7RQ8_2y,0.036,0.125,0.056,0.067
7RQ9_1B,,,,
7RQ9_1w,0.069,0.222,0.105,0.124
7RQ9_1x,,,,
7RQ9_2B,,,,
7RQ9_2w,0.0,0.0,0.0,0.0
7RQ9_2x,,,,
7RQ9_2y,0.031,0.125,0.05,0.063
7RQA_1B,,,,
7RQA_2B,,,,
7RQB_1B,,,,
7RQB_2B,,,,
7RQC_1B,,,,
7RQC_2B,,,,
7RQD_1B,,,,
7RQD_2B,,,,
7RQE_1B,,,,
7RQE_2B,,,,
7RR5_C4,,,,
7RR5_P,,,,
7RYF_B,,,,
7RYF_v,,,,
7RYG_B,,,,
7RYG_v,,,,
7RYH_B,,,,
7S0S_i,,,,
7S1G_J,,,,
7S1H_J,,,,
7S1I_J,,,,
7S1J_J,,,,
7S1K_J,,,,
7SS9_2,,,,
7SS9_5,,,,
7SS9_6,,,,
7SSD_2,,,,
7SSD_5,,,,
7SSD_6,,,,
7SSL_2,,,,
7SSL_5,,,,
7SSL_6,,,,
7SSN_2,,,,
7SSN_5,,,,
7SSN_6,,,,
7SSO_2,,,,
7SSO_5,,,,
7SSO_6,,,,
7SSW_2,,,,
7SSW_5,,,,
7SSW_6,,,,
7ST2_2,,,,
7ST2_5,,,,
7ST2_6,,,,
7ST6_2,,,,
7ST6_5,,,,
7ST6_6,,,,
7ST6_7,,,,
7ST7_2,,,,
7ST7_5,,,,
7ST7_6,,,,
7TD7_A,0.0,0.0,0.0,0.0
7TQL_3,,,,
7TRC_B,0.0,0.0,0.0,0.0
7TRD_B,0.0,0.0,0.0,0.0
7TRE_B,0.0,0.0,0.0,0.0
7TRF_B,0.0,0.0,0.0,0.0
7VNV_B,0.0,0.0,0.0,0.0
7VNW_B,0.0,0.0,0.0,0.0
